"Référence OSM mère (Opportunité)";"Référence OSM (Opportunité)";"Client/Prospect (Opportunité)";"Offre";"Nature Offre";"Produit existant";"Nature produit (Produit existant)";"Quantité";"Prix unitaire";"Total final";"Remise (%) (Opportunité)";"Total remisé HT";"Extension (Opportunité)";"Budget à valider (Opportunité)";"Budget à valider Extension (Opportunité)";"Durée d'engagement (Opportunité)";"Type d'engagement (Opportunité)";"Demandeur (Opportunité)";"Equipe";"Créé le (Opportunité)";"Mois de création";"Année de création";"Mois et année de création";"Raison de statut OSM (Opportunité)";"Statut OSM (Opportunité)";"Statut activation (Commande)";"Date d’activation (Commande)";"Mois d'activation";"Staut Final";"Gouvernorat";"Phase de l’opportunité (Opportunité)"
"20201008_54342";"20210525_62377";"LA GRIFFE INTERNATIONALE";"Top du Top 30";"MOBILE";"Top du Top 30";"Offre";"1";"30";"30";"0";"25.2100840336134";"Oui";"36878";"480";"24";"Engagement";"Tarek Azzouzi";"FID";"Tue May 25 11:54:22 CEST 2021";"5";"2021";"5/2021";"Transformée en commande";"Clôturée";"Stock préparé";"";"";"En cours (Pipe)";"Ben Arous";"Analyzing"
"20210503_61381";"20210524_62287";"MONDO VIP TRAVEL AGENCY";"Top du Top 30";"MOBILE";"Top du Top 30";"Offre";"2";"30";"60";"0";"50.4201680672269";"Oui";"2160";"60";"24";"Engagement";"Slim Mahressi";"DME NORD";"Mon May 24 09:37:25 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Thu May 27 00:00:00 CEST 2021";"5";"Conclue";"Tunis";"Analyzing"
"20200803_52797";"20210526_62416";"UNITED DEVELOPERS";"Top du Top 30";"MOBILE";"Top du Top 30";"Offre";"1";"30";"30";"40";"15.1260504201681";"Oui";"0";"0";"24";"Engagement";"Yassine Znazen";"FID";"Wed May 26 15:26:59 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Wed May 26 00:00:00 CEST 2021";"5";"Conclue";"Sfax";"Analyzing"
"20180719_24548";"20210527_62440";"STE I.M.S";"Top du Top 20";"MOBILE";"Top du Top 20";"Offre";"1";"20";"20";"0";"16.8067226890756";"Oui";"1500";"200";"24";"Engagement";"Zied Boulifa";"FID";"Thu May 27 14:47:25 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Fri May 28 00:00:00 CEST 2021";"5";"Conclue";"0";"Analyzing"
"";"20210528_62470";"JUMIA TECHNOLOGIES";"Top du Top 50";"MOBILE";"Top du Top 50";"Offre";"3";"50";"150";"15";"107.142857142857";"Non";"1800";"";"24";"Engagement";"Walid Lajnef";"DME NORD";"Fri May 28 13:02:14 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon Jun 07 00:00:00 CEST 2021";"6";"Conclue";"Tunis";"Analyzing"
"20190628_42686";"20210528_62478";"EUBAM LYBYA";"Top du Top 80";"MOBILE";"Top du Top 80";"Offre";"2";"80";"160";"50";"67.2268907563025";"Oui";"0";"0";"12";"Engagement";"Mohamed amine Messaoudi";"DME NORD";"Fri May 28 17:28:11 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon May 31 00:00:00 CEST 2021";"5";"Conclue";"Tunis";"Analyzing"
"20190919_46805";"20210531_62482";"SPECCO CONSTRUCTION";"Top du Top 10";"MOBILE";"Top du Top 10";"Offre";"3";"10";"30";"0";"25.2100840336134";"Oui";"480";"240";"24";"Engagement";"Boutheina Khannoussi";"FID";"Mon May 31 09:23:11 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Tue Jul 27 00:00:00 CEST 2021";"7";"Conclue";"Ariana";"Analyzing"
"20210525_62368";"20210531_62505";"BIOHEALTH";"Flybox Business";"BROAD BAND";"Flybox Business";"Offre";"1";"94,01";"94,01";"0";"79";"Oui";"499,47";"249,735";"24";"Engagement";"Jamel Dhief";"DME SUD";"Mon May 31 14:27:07 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon May 31 00:00:00 CEST 2021";"5";"Conclue";"Sfax";"Analyzing"
"20201210_57070";"20210531_62518";"CONSEIL TUNISIEN POUR LES REFUGIES";"Top du Top 40";"MOBILE";"Top du Top 40";"Offre";"4";"40";"160";"0";"134.453781512605";"Oui";"0";"0";"6";"Engagement";"Imen Makhloufi";"FID";"Mon May 31 15:45:21 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Tue Jun 01 00:00:00 CEST 2021";"6";"Conclue";"Tunis";"Analyzing"
"20210414_60953";"20210601_62529";"STE CEVA SANTE ANIMALE TUNISIE SA";"Forfait data Pro plus 35 Go";"BROAD BAND";"Forfait data Pro plus 35 Go";"Offre";"1";"24";"24";"0";"20.1680672268908";"Oui";"597";"199";"24";"Engagement";"Insaf Toumi";"FID";"Tue Jun 01 09:28:06 CEST 2021";"6";"2021";"6/2021";"Commande lancé";"Clôturée";"Activation";"Fri Jun 04 00:00:00 CEST 2021";"6";"Conclue";"Tunis";"Analyzing"
"20201209_57051";"20210601_62545";"CRISTAL TUNISIE";"Performance";"MOBILE";"Performance";"Offre";"1";"250";"250";"30";"147.058823529412";"Oui";"12042";"1802";"24";"Engagement";"Imen Makhloufi";"FID";"Tue Jun 01 12:11:49 CEST 2021";"6";"2021";"6/2021";"Commande lancé";"Clôturée";"Activation";"Thu Jun 03 00:00:00 CEST 2021";"6";"Conclue";"Ben Arous";"Analyzing"
"";"20210601_62553";"STE DIGI DEV";"Flybox Business";"BROAD BAND";"Flybox Business";"Offre";"2";"94,01";"188,02";"0";"158";"Non";"438";"";"24";"Engagement";"Mohamed amine Messaoudi";"DME NORD";"Tue Jun 01 13:39:30 CEST 2021";"6";"2021";"6/2021";"Commande lancé";"Clôturée";"Activation";"Wed Jun 02 00:00:00 CEST 2021";"6";"Conclue";"Tunis";"Analyzing"
"";"20210517_61589";"MEDWAYS INTERNATIONAL ";"Libert";"";"Libert�";"Offre";"2";"0";"0";"0";"0";"Non";"3780";"";"24";"Engagement";"Boutheina Khannoussi";"FID";"Mon May 17 11:06:21 CEST 2021";"5";"2021";"5/2021";"Commande lancé";"Clôturée";"Activation";"Mon Jun 07 00:00:00 CEST 2021";"6";"Conclue";"Tunis";"Ordering"
"";"20210601_62561";"STE POLO PRO";"Flybox Business";"BROAD BAND";"Flybox Business";"Offre";"1";"94,01";"94,01";"0";"79";"Non";"219";"";"24";"Engagement";"Moez Sassi";"DME CENTRE";"Tue Jun 01 15:02:11 CEST 2021";"6";"2021";"6/2021";"Commande lancé";"Clôturée";"Activation";"Tue Jun 08 00:00:00 CEST 2021";"6";"Conclue";"Sousse";"Closing"
"20180410_22136";"20210602_62578";"STE PRIMA TOURS";"Top du Top 10";"MOBILE";"Top du Top 10";"Offre";"5";"10";"50";"15";"35.7142857142857";"Oui";"6300";"300";"24";"Engagement";"Faten Bouzid";"FID";"Wed Jun 02 10:04:59 CEST 2021";"6";"2021";"6/2021";"Commande lancé";"Clôturée";"Activation";"Wed Jun 02 00:00:00 CEST 2021";"6";"Conclue";"Sousse";"Analyzing"
